"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","source","associationType","text","sentence","pmYear","score","chemsInSentence","reference_type","reference","ancestry_name","ancestry_id","chemical_effect","polarity"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","GeneticVariation","A novel haplotype with the R345W mutation in the EFEMP1 gene associated with autosomal dominant drusen in a Japanese family.","A novel haplotype with the R345W mutation in the EFEMP1 gene associated with autosomal dominant drusen in a Japanese family.",2010,1,NA,"PMID","19850834","Japanese","HANCESTRO:0019",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","UNIPROT","CausalMutation","These data present evidence that misfolding and aberrant accumulation of EFEMP1 may cause drusen formation and cellular degeneration and play an important role in the etiology of both ML and AMD.","These data present evidence that misfolding and aberrant accumulation of <span class='gene' en_id='2202'>EFEMP1</span> may cause drusen formation and cellular degeneration and play an important role in the etiology of both <span class='disease' en_id='C1832174'>ML</span> and AMD.",2002,1,NA,"PMID","12242346","","",NA,"Positive"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","UNIPROT","CausalMutation","Dominant radial drusen and Arg345Trp EFEMP1 mutation.","Dominant radial drusen and Arg345Trp EFEMP1 mutation.",2001,1,NA,"PMID","11384588","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation","Assessment of the phenotypic range seen in Doyne honeycomb retinal dystrophy.","Assessment of the phenotypic range seen in Doyne honeycomb retinal dystrophy.",1997,1,NA,"PMID","9230832","","",NA,NA
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Philadelphia chromosome positive chronic myelogenous leukemia","[disease]","C0279543","Neoplasms (C04) | Pathological Conditions, Signs and Symptoms (C23) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the immune system (02715) | Neoplasm (02664) | Abnormality of blood and blood-forming tissues (01871)","RGD_HUMAN","CausalOrContributing","AMP-activated protein kinase activation primes cytoplasmic translocation and autophagic degradation of the BCR-ABL protein in CML cells.","AMP-activated protein kinase activation primes cytoplasmic translocation and autophagic degradation of the BCR-ABL protein in CML cells.",2021,1,NA,"PMID","33070465","","",NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","Identification of a novel SCA14 mutation in a Dutch autosomal dominant cerebellar ataxia family.","Identification of a novel SCA14 mutation in a Dutch autosomal dominant cerebellar ataxia family.",2003,1,NA,"PMID","14694043","Dutch","HANCESTRO:0320",NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","GeneticVariation","These findings document that SCA14 is caused by mutations in the PRKCG gene.","These findings document that <span class='disease' en_id='C1854369'>SCA14</span> is caused by mutations in the <span class='gene' en_id='5582'>PRKCG</span> gene.",2003,1,NA,"PMID","14676051","","",NA,"Positive"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation","Missense mutations in the regulatory domain of PKC gamma: a new mechanism for dominant nonepisodic cerebellar ataxia.","Missense mutations in the regulatory domain of PKC gamma: a new mechanism for dominant nonepisodic cerebellar ataxia.",2003,1,NA,"PMID","12644968","","",NA,NA
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Acute lymphocytic leukemia","[disease]","C0023449","Immune System Diseases (C20) | Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of the immune system (02715) | Abnormality of blood and blood-forming tissues (01871) | Neoplasm (02664)","MGD_HUMAN","CausalOrContributing",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Targeted 46-gene and clinical exome sequencing for mutations causing cardiomyopathies.","Targeted 46-gene and clinical exome sequencing for mutations causing cardiomyopathies.",2015,1,NA,"PMID","25979592","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","CausalMutation","Pregnancy Outcomes in Females With Dilated Cardiomyopathy-Associated Rare Genetic Variants.","Pregnancy Outcomes in Females With Dilated Cardiomyopathy-Associated Rare Genetic Variants.",2022,1,NA,"PMID","35113650","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","Our findings establish RBM20 as a DCM gene and reveal a mutation hotspot in the RS domain.","Our findings establish <span class='gene' en_id='282996'>RBM20</span> as a <span class='disease' en_id='C0007193'>DCM</span> gene and reveal a mutation hotspot in the RS domain.",2009,1,NA,"PMID","19712804","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","Genetics, Clinical Features, and Long-Term Outcome of Noncompaction Cardiomyopathy.","Genetics, Clinical Features, and Long-Term Outcome of Noncompaction Cardiomyopathy.",2018,1,NA,"PMID","29447731","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Phenotype and progression among patients with dilated cardiomyopathy and RBM20 mutations.","Phenotype and progression among patients with <span class='disease' en_id='C0007193'>dilated cardiomyopathy</span> and <span class='gene' en_id='282996'>RBM20</span> mutations.",2021,1,NA,"PMID","34174465","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Our findings establish RBM20 as a DCM gene and reveal a mutation hotspot in the RS domain.","Our findings establish <span class='gene' en_id='282996'>RBM20</span> as a <span class='disease' en_id='C0007193'>DCM</span> gene and reveal a mutation hotspot in the RS domain.",2009,1,NA,"PMID","19712804","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","RBM20, a gene for hereditary cardiomyopathy, regulates titin splicing.","RBM20, a gene for hereditary cardiomyopathy, regulates titin splicing.",2012,1,NA,"PMID","22466703","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Whole exome sequencing of remotely related dilated cardiomyopathy subjects from a large, multiplex family, followed by systematic filtering, identified a causal RBM20 mutation without the need for linkage analysis.","Whole exome sequencing of remotely related <span class='disease' en_id='C0007193'>dilated cardiomyopathy</span> subjects from a large, multiplex family, followed by systematic filtering, identified a causal <span class='gene' en_id='282996'>RBM20</span> mutation without the need for linkage analysis.",2013,1,NA,"PMID","23861363","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","RBM20, a gene for hereditary cardiomyopathy, regulates titin splicing.","RBM20, a gene for hereditary cardiomyopathy, regulates titin splicing.",2012,1,NA,"PMID","22466703","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","CausalMutation","Whole exome sequencing of remotely related dilated cardiomyopathy subjects from a large, multiplex family, followed by systematic filtering, identified a causal RBM20 mutation without the need for linkage analysis.","Whole exome sequencing of remotely related <span class='disease' en_id='C0007193'>dilated cardiomyopathy</span> subjects from a large, multiplex family, followed by systematic filtering, identified a causal <span class='gene' en_id='282996'>RBM20</span> mutation without the need for linkage analysis.",2013,1,NA,"PMID","23861363","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Atlas of the clinical genetics of human dilated cardiomyopathy.","Atlas of the clinical genetics of human dilated cardiomyopathy.",2015,1,NA,"PMID","25163546","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","CausalMutation","RBM20, a gene for hereditary cardiomyopathy, regulates titin splicing.","RBM20, a gene for hereditary cardiomyopathy, regulates titin splicing.",2012,1,NA,"PMID","22466703","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","CausalMutation","Genetic Risk of Arrhythmic Phenotypes in Patients With Dilated Cardiomyopathy.","Genetic Risk of Arrhythmic Phenotypes in Patients With Dilated Cardiomyopathy.",2019,1,NA,"PMID","31514951","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","MGD_HUMAN","CausalOrContributing",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","GeneticVariation","A single EFEMP1 mutation associated with both Malattia Leventinese and Doyne honeycomb retinal dystrophy.","A single EFEMP1 mutation associated with both Malattia Leventinese and Doyne honeycomb retinal dystrophy.",1999,1,NA,"PMID","10369267","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINGEN","CausalMutation","Doyne honeycomb retinal dystrophy/malattia leventinese induced by EFEMP1 mutation in a Chinese family.","<span class='disease' en_id='C1832174'>Doyne honeycomb retinal dystrophy</span>/<span class='disease' en_id='C1832174'>malattia leventinese</span> induced by <span class='gene' en_id='2202'>EFEMP1</span> mutation in a Chinese family.",2018,1,NA,"PMID","30541486","Chinese","HANCESTRO:0021",NA,"Positive"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation","Autosomal dominant radial drusen (ADRD), also termed Malattia Leventinese and Doyne honeycomb retinal dystrophy, causes early-onset vision loss because of mutation in EFEMP1.","<span class='disease' en_id='C1832174'>Autosomal dominant radial drusen</span> (<span class='disease' en_id='C1832174'>ADRD</span>), also termed Malattia Leventinese and Doyne honeycomb retinal dystrophy, causes early-onset vision loss because of mutation in <span class='gene' en_id='2202'>EFEMP1</span>.",2015,1,NA,"PMID","25077532","","",NA,"Positive"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation","A novel EFEMP1 variant was identified in one DHRD patient.","A novel <span class='gene' en_id='2202'>EFEMP1</span> variant was identified in one <span class='disease' en_id='C1832174'>DHRD</span> patient.",2014,1,NA,"PMID","25082885","","",NA,"Positive"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation","These data present evidence that misfolding and aberrant accumulation of EFEMP1 may cause drusen formation and cellular degeneration and play an important role in the etiology of both ML and AMD.","These data present evidence that misfolding and aberrant accumulation of <span class='gene' en_id='2202'>EFEMP1</span> may cause drusen formation and cellular degeneration and play an important role in the etiology of both <span class='disease' en_id='C1832174'>ML</span> and AMD.",2002,1,NA,"PMID","12242346","","",NA,"Positive"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","Malattia Leventinese: EFEMP1 R345W Variant Is a Hot Spot Mutation, Not a Founder Mutation.","Malattia Leventinese: EFEMP1 R345W Variant Is a Hot Spot Mutation, Not a Founder Mutation.",2020,1,NA,"PMID","33019987","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","UNIPROT","CausalMutation","The inherited macular degeneration Doyne honeycomb retinal dystrophy/Malattia Leventinese is thought to be caused by an R345W mutation in the EFEMP1 gene (also called fibulin-3).","The inherited macular degeneration <span class='disease' en_id='C1832174'>Doyne honeycomb retinal dystrophy</span>/<span class='disease' en_id='C1832174'>Malattia Leventinese</span> is thought to be caused by an R345W mutation in the <span class='gene' en_id='2202'>EFEMP1</span> gene (also called <span class='gene' en_id='2202'>fibulin-3</span>).",2007,1,NA,"PMID","17666404","","",NA,"Positive"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","GeneticVariation","Malattia leventinese/Doyne honeycomb retinal dystrophy in a chinese family with mutation of the EFEMP1 gene.","Malattia leventinese/Doyne honeycomb retinal dystrophy in a chinese family with mutation of the EFEMP1 gene.",2014,1,NA,"PMID","25111685","Chinese","HANCESTRO:0021",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINGEN","CausalMutation","These data present evidence that misfolding and aberrant accumulation of EFEMP1 may cause drusen formation and cellular degeneration and play an important role in the etiology of both ML and AMD.","These data present evidence that misfolding and aberrant accumulation of <span class='gene' en_id='2202'>EFEMP1</span> may cause drusen formation and cellular degeneration and play an important role in the etiology of both <span class='disease' en_id='C1832174'>ML</span> and AMD.",2002,1,NA,"PMID","12242346","","",NA,"Positive"
